tsUpc,tsSku,tsDesc1,tsDesc2,tsWeight,tsCost,tsPrice,tsUnit,tsOM,tsCata1,tsCata2,tsCata3,tsCata4,tsVendNum,tsDims
6043,GR006043,Bolt - 5/16-18x2-1/2,Grattan Carriage,0,0.1,0.29,EACH,0,SUPPL,FASTN,BOLT,,6043,
30937111142,CH8823M,"Air Filter - 3/8"" Npt",Coilhose Metal Bowl,0,34.034,56.89,EACH,0,ACCPN,AIRLN,,,8823M,
7535203791,PW03790,z SPIKE DRIVER 1000,POWERS,0,56.16,139,EACH,0,SUPPL,FASTN,,,3790,
7535206505,PW06705,z HAMMER CAPSULES 3/4,POWERS  5/BX,0,35.965,90.39,EACH,0,SUPPL,FASTN,,,6705,
7535208600,PW00593,z HD-SS DRILL BULK 1/4 X,POWERS 4 25/BX,0,4.4,11.39,EACH,0,SUPPL,FASTN,,,593,
647580,HNHHT25SLTAT,z STRING TRIMMER,HONDA 4-STROKE,0,255,329,EACH,0,MACHN,OPE,TRIM,,647580,
647610,HNHHT35SUKAT,z COMMERCL STRING TRIMMER,HONDA 4-STROKE,0,310,389,EACH,0,MACHN,OPE,TRIM,,647610,
647620,HNHHT35SLTAT,z HD STRING TRIMMER,HONDA 4-STROKE,0,278,359,EACH,0,MACHN,OPE,TRIM,,647620,
649250,HNFC600,z MID-TINE TILLER GX160,HONDA 4-STROKE,0,944,1199,EACH,0,MACHN,OPE,TILLR,,649250,
649680,HNFG110K1AT,z MINI TILLER GX ENGINE,HONDA 4-STROKE,0,292,349,EACH,0,MACHN,OPE,TILLR,,649680,
649800,HNFRC800,z REAR-TINE TILLER OHV,HONDA 4-STROKE,0,1886,2399,EACH,0,MACHN,OPE,TILLR,,649800,
9008,AG9008,z WRENCH - 1/4 RATCHET BX,GEAR WRENCH,0,9.38,13.89,EACH,0,HAND,WRNCH,COMBI,OPEN,GWR9008,
9028,AG9028,Wrench - 7/8 Ratchet Box,Gear Wrench,0,21.37,31.89,EACH,0,HAND,WRNCH,COMBI,OPEN,317012,
 B01410-P080,CC4855GAL,Semisynthetic Oil - 5GAL,StarBright 485 GenPurpose,0,92,145,EACH,0,SUPPL,CHEM,LUBES,,485 5GAL,
#25,PR#25,z U-HANK TIE WIRE,PRIME 16GA,0,21.24,35.89,EACH,0,SUPPL,FASTN,,,#25,
#5560,EG13665,z SUSPENDERS SYNTHETIC,ARSENAL 5560 PADDED,0,19.35,32.39,EACH,0,HAND,ORGAN,BAGS,,13665,
#8R,AC8R,"Clamp - 8"" Vise-Grip",Irwin Sheet Metal 8R,1.17,14.084,21.89,EACH,0,HAND,CLAMP,VISE,,331625,
#REF!,AC62-556,Screwdriver #0X2-3/8,Stanley Pro Driver Phill,0,2.116,3.65,EACH,0,HAND,SCREW,,,326258,
**,*XX,Special Order,,0,0,0,EACH,0,MISC,ORDER,,,*XX,
*100R,PC100R,Z ROUTER - 7/8 HP,PORTER CABLE- RECON,0,85.13,99,EACH,0,PRTBL,ROUTR,,RECON,*100R,
*6516227,MW6516-22-7,z SAWZALL - CORDLESS RECO,MILWAUKEE 18 VOLT 2 BATT,0,245,299,EACH,0,PRTBL,SAW,RECIP,RECON,*6516-22-7,
*DW,*BD,SPECIAL ORDER,Black & Decker/DeWalt,0,0,0,EACH,0,MISC,ORDER,,,*BD,
*MAKP1500417 105918,*MAKP1500417,k CRANK CAP,*MAKP 150041-7,0,0,0,EACH,0,RIVRS,,,,*MAKP1500417,
*MAKP6518764 105918,*MAKP6518764,k SWITCH,*MAKP 651876-4,0,0,0,EACH,0,RIVRS,,,,*MAKP6518764,
*PC,*PC,SPECIAL ORDER,Porter Cable,0,0,0,EACH,0,MISC,ORDER,,,*PC,
*STEELSAW2,EVSTEELSAW2,"z 15"" METAL DRY SAW EVO38",EVOLUTION W/15BLADEST,51,319.99,399,EACH,0,MACHN,SAW,METAL,14,*STEELSAW2,
*TRI733.0490 106070,*TRI733.0490,k REAMER HSS,*TRI 733 .0490,0,0,0,EACH,0,RIVRS,,,,*TRI733.0490,
88381610575,MKLCT306W,z CRDLS 3PC COMBO KIT 18V,MAKITA DRL/IMP/SQ LIGHT,0,248.9,299,EACH,0,PRTBL,CRDLS,COMBO,18V,LCT306W,
